"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Castle Medical Practice</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"w-logo-link\" href=\"https://www.castlemedicalpractice.org.uk/\"><span class=\"w-logo-img\"><img c...</a>","html > body > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"for_default\" src=\"https://www.castlemedicalpractice.org.uk/wp-content/uploads/2018/12/castle-logo-white.png\" width=\"347\" height=\"232\" alt=\"Castle Medical Practice\">","html > body > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(1) > a > span > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"for_default\" src=\"https://www.castlemedicalpractice.org.uk/wp-content/uploads/2018/12/castle-logo-white.png\" width=\"347\" height=\"232\" alt=\"Castle Medical Practice\">","html > body > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(1) > a > span > img"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form class=\"w-form-h\" autocomplete=\"off\" action=\"https://www.castlemedicalpractice.org.uk/\" method=\"get\">\n\t\t\t\t\t\t\t<div class=\"w-form-row ...</form>","#us_form_1 > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form class=\"w-form-h\" autocomplete=\"off\" action=\"https://www.castlemedicalpractice.org.uk/\" method=\"get\">\n\t\t\t\t\t\t\t<div class=\"w-form-row ...</form>","#us_form_1 > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form class=\"w-form-h\" autocomplete=\"off\" action=\"https://www.castlemedicalpractice.org.uk/\" method=\"get\">\n\t\t\t\t\t\t\t<div class=\"w-form-row ...</form>","#us_form_1 > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form class=\"w-form-h\" autocomplete=\"off\" action=\"https://www.castlemedicalpractice.org.uk/\" method=\"get\">\n\t\t\t\t\t\t\t<div class=\"w-form-row ...</form>","#us_form_1 > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form class=\"w-form-h\" autocomplete=\"off\" action=\"https://www.castlemedicalpractice.org.uk/\" method=\"get\">\n\t\t\t\t\t\t\t<div class=\"w-form-row ...</form>","#us_form_1 > form"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"text\" name=\"s\" id=\"us_form_1_s\" value=\"\" placeholder=\"search ...\">","#us_form_1_s"
