"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Orsett Surgery | Health at the ...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://orsettsurgery.wordpress.com/\" rel=\"home\">Orsett Surgery</a>","#masthead > div:nth-child(1) > h1 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a href=\"#search-container\" class=\"screen-reader-text\" aria-expanded=\"false\" aria-controls=\"search-container\">Search</a>","#masthead > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#search-container\" class=\"screen-reader-text\" aria-expanded=\"false\" aria-controls=\"search-container\">Search</a>","#masthead > div:nth-child(1) > div > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"menu-toggle\">Primary Menu</button>","#primary-navigation > button"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"screen-reader-text skip-link\" href=\"#content\">Skip to content</a>","#primary-navigation > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://orsettsurgery.wordpress.com\" aria-current=\"page\">Home</a>","#menu-item-670 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://orsettsurgery.wordpress.com/newsletters/\">Newsletters</a>","#menu-item-711 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://orsettsurgery.wordpress.com/contact-us/\">Contact Us</a>","#menu-item-672 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://orsettsurgery.webgp.com/\">eConsult</a>","#menu-item-698 > a"
