"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Castle Place Practice | Deliver...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.12:1. Recommendation: change text colour to #595959.","error","<a href=\"mailto:castleplacepractice@nhs.net\" class=\"top-contact-info\"><i class=\"fa fa-envelope\"></i>c...</a>","#page > header > div:nth-child(1) > div > div > div:nth-child(1) > ul > li > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"mailto:castleplacepractice@nhs.net\" class=\"top-contact-info\"><i class=\"fa fa-envelope\"></i>c...</a>","#page > header > div:nth-child(1) > div > div > div:nth-child(1) > ul > li > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a target=\"_blank\" href=\"https://www.facebook.com/castleplacepractice\" class=\"top-social-icon\"><i class=\"fa fa-facebook\"></i></a>","#page > header > div:nth-child(1) > div > div > div:nth-child(2) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a target=\"_blank\" href=\"https://www.facebook.com/castleplacepractice\" class=\"top-social-icon\"><i class=\"fa fa-facebook\"></i></a>","#page > header > div:nth-child(1) > div > div > div:nth-child(2) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a target=\"_blank\" href=\"https://www.facebook.com/castleplacepractice\" class=\"top-social-icon\"><i class=\"fa fa-facebook\"></i></a>","#page > header > div:nth-child(1) > div > div > div:nth-child(2) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a target=\"_blank\" href=\"https://twitter.com/castleplacetiv?lang=en-gb\" class=\"top-social-icon\"><i class=\"fa fa-twitter\"></i></a>","#page > header > div:nth-child(1) > div > div > div:nth-child(2) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a target=\"_blank\" href=\"https://twitter.com/castleplacetiv?lang=en-gb\" class=\"top-social-icon\"><i class=\"fa fa-twitter\"></i></a>","#page > header > div:nth-child(1) > div > div > div:nth-child(2) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a target=\"_blank\" href=\"https://twitter.com/castleplacetiv?lang=en-gb\" class=\"top-social-icon\"><i class=\"fa fa-twitter\"></i></a>","#page > header > div:nth-child(1) > div > div > div:nth-child(2) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"site-title site-logo-img\" href=\"https://www.castleplacepractice.nhs.uk/\" title=\"Castle Place Practice\" rel=\"home\"><img src=\"https://www.castlepla...</a>","#page > header > div:nth-child(2) > div > div > div:nth-child(1) > div > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"https://www.castleplacepractice.nhs.uk/wp-content/uploads/2019/06/cpprdelogo3.jpg\" alt=\"Castle Place Practice\">","#page > header > div:nth-child(2) > div > div > div:nth-child(1) > div > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.castleplacepractice.nhs.uk/wp-content/uploads/2019/06/cpprdelogo3.jpg\" alt=\"Castle Place Practice\">","#page > header > div:nth-child(2) > div > div > div:nth-child(1) > div > a > img"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form class=\"search\" action=\"https://www.castleplacepractice.nhs.uk/\" method=\"get\">\n\t<fieldset>\n\t\t<span class=\"tex...</form>","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form class=\"search\" action=\"https://www.castleplacepractice.nhs.uk/\" method=\"get\">\n\t<fieldset>\n\t\t<span class=\"tex...</form>","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form class=\"search\" action=\"https://www.castleplacepractice.nhs.uk/\" method=\"get\">\n\t<fieldset>\n\t\t<span class=\"tex...</form>","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form class=\"search\" action=\"https://www.castleplacepractice.nhs.uk/\" method=\"get\">\n\t<fieldset>\n\t\t<span class=\"tex...</form>","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form class=\"search\" action=\"https://www.castleplacepractice.nhs.uk/\" method=\"get\">\n\t<fieldset>\n\t\t<span class=\"tex...</form>","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Fieldset.Name","This fieldset element does not have a name available to an accessibility API. Valid names are: legend element, aria-label attribute, aria-labelledby attribute.","error","<fieldset>\n\t\t<span class=\"text\"><input na...</fieldset>","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form > fieldset"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H71.NoLegend","Fieldset does not contain a legend element. All fieldsets should contain a legend element that describes a description of the field group.","error","<fieldset>\n\t\t<span class=\"text\"><input na...</fieldset>","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form > fieldset"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input name=\"s\" class=\"imd-search\" type=\"text\" value=\"\" placeholder=\"Search ...\">","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form > fieldset > span > input"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","error","<input name=\"s\" class=\"imd-search\" type=\"text\" value=\"\" placeholder=\"Search ...\">","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form > fieldset > span > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input name=\"s\" class=\"imd-search\" type=\"text\" value=\"\" placeholder=\"Search ...\">","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form > fieldset > span > input"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title attribute, element content, aria-label attribute, aria-labelledby attribute.","error","<button class=\"button search-submit\"><i class=\"fa fa-search\"></i></button>","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form > fieldset > button"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"button search-submit\"><i class=\"fa fa-search\"></i></button>","#page > header > div:nth-child(2) > div > div > div:nth-child(2) > form > fieldset > button"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title attribute, element content, aria-label attribute, aria-labelledby attribute.","error","<button class=\"menu-toggle-imd-top-social icon-rocket\">\n\t\t\t\t\t\t<i class=\"fa fa-phone\"><...</button>","#page > header > div:nth-child(2) > div > div > div:nth-child(3) > div:nth-child(1) > button"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"menu-toggle-imd-top-social icon-rocket\">\n\t\t\t\t\t\t<i class=\"fa fa-phone\"><...</button>","#page > header > div:nth-child(2) > div > div > div:nth-child(3) > div:nth-child(1) > button"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title attribute, element content, aria-label attribute, aria-labelledby attribute.","error","<button class=\"menu-toggle\">\n\t\t\t\t\t\t<i class=\"fa fa-bars\"></...</button>","#page > header > div:nth-child(2) > div > div > div:nth-child(3) > div:nth-child(2) > button"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"menu-toggle\">\n\t\t\t\t\t\t<i class=\"fa fa-bars\"></...</button>","#page > header > div:nth-child(2) > div > div > div:nth-child(3) > div:nth-child(2) > button"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","warning","<div class=\"imd-social-icon-wrap\"><i class=\"fa fa-envelope-o\"></i...</div>","#page > header > div:nth-child(2) > div > div > div:nth-child(4) > ul > li:nth-child(1) > div"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"mailto:%63%61%73%74l%65p%6c%61c%65prac%74i%63e@n%68s.ne%74\" class=\"top-contact-info\">castleplacepractice@nhs.net</a>","#page > header > div:nth-child(2) > div > div > div:nth-child(4) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","warning","<div class=\"imd-social-icon-wrap\"><i class=\"fa fa-globe\"></i></div>","#page > header > div:nth-child(2) > div > div > div:nth-child(4) > ul > li:nth-child(2) > div"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"https://www.facebook.com/castleplacepractice\" class=\"top-social-icon\" target=\"_blank\"><i class=\"fa fa-facebook\"></i></a>","#page > header > div:nth-child(2) > div > div > div:nth-child(4) > ul > li:nth-child(2) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.facebook.com/castleplacepractice\" class=\"top-social-icon\" target=\"_blank\"><i class=\"fa fa-facebook\"></i></a>","#page > header > div:nth-child(2) > div > div > div:nth-child(4) > ul > li:nth-child(2) > ul > li:nth-child(1) > a"
