"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Longview Medical Centre, Huyton...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html><head><meta http-equiv=\"Content...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body bgcolor=\"#010066\">\n<div id=\"container\">\n<div id=\"...</body>","html > body"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img border=\"0\" width=\"100%\" height=\"100%\" alt=\"\" src=\"images/shape6843328.gif\">","#shape1 > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img border=\"0\" width=\"100%\" height=\"100%\" alt=\"\" src=\"images/shape6843328.gif\">","#shape1 > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"images/paste1.jpg\" alt=\"\" title=\"\" border=\"0\" width=\"78\" height=\"90\">","#g_image2 > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/paste1.jpg\" alt=\"\" title=\"\" border=\"0\" width=\"78\" height=\"90\">","#g_image2 > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font color=\"#C0C0C0\" face=\"Tahoma\">Copyright © Longview Medical Ce...</font>","#text2 > div > div > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<font color=\"#C0C0C0\" face=\"Tahoma\">Copyright © Longview Medical Ce...</font>","#text2 > div > div > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<font color=\"#C0C0C0\" face=\"Tahoma\">Copyright © Longview Medical Ce...</font>","#text2 > div > div > font"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"images/paste5.jpg\" alt=\"\" title=\"\" border=\"0\" width=\"49\" height=\"20\">","#image3 > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/paste5.jpg\" alt=\"\" title=\"\" border=\"0\" width=\"49\" height=\"20\">","#image3 > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table style=\"border-style:solid;border-bottom-width:0;border-top-width:0;border-left-width:0;border-right-width:0;\" cellpadding=\"4\"><tbody><tr><td>\n<font color=\"#3...</table>","#g_html1 > table"
