"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home | Cornerstone Surgery</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link href=\"https://fonts.googleapis.com/css?family=Open+Sans:400,400i,600\" rel=\"stylesheet\">","html > body > link"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"index.shtml\"><img id=\"cornerstone-logo\" clas...</a>","#header-inner > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"index.shtml\"><img id=\"cornerstone-logo\" clas...</a>","#header-inner > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img id=\"cornerstone-logo\" class=\"header-img\" title=\"Cornerstone Surgery Logo\" src=\"assets/images/cs_img(150px).png\">","#cornerstone-logo"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.52:1. Recommendation: change text colour to #505050.","error","<span class=\"con-details1\">Fingerpost Park Health Centre, ...</span>","#header-inner > p > span:nth-child(6)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.88:1. Recommendation: change text colour to #9e5f00.","error","<a href=\"practice_info.shtml\" target=\"_self\">About us</a>","#navbar > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"practice_info.shtml\" target=\"_self\">About us</a>","#navbar > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.88:1. Recommendation: change text colour to #9e5f00.","error","<a href=\"patient_info.shtml\" target=\"_self\">Being a patient</a>","#navbar > div:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"patient_info.shtml\" target=\"_self\">Being a patient</a>","#navbar > div:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.88:1. Recommendation: change text colour to #9e5f00.","error","<a href=\"ops.shtml\" target=\"_self\">Online Patient Services</a>","#navbar > div:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"ops.shtml\" target=\"_self\">Online Patient Services</a>","#navbar > div:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.88:1. Recommendation: change text colour to #9e5f00.","error","<a href=\"health_info.shtml\" target=\"_self\">Health information</a>","#navbar > div:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"health_info.shtml\" target=\"_self\">Health information</a>","#navbar > div:nth-child(4) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.14:1. Recommendation: change text colour to #ab6600.","error","<h1>Welcome to the Cornerstone Surg...</h1>","#content > h1"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.29:1. Recommendation: change text colour to #595959.","error","<p>This website has been designed ...</p>","#content > p"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div id=\"quick-links-1\">\n\t\t\t\t<a href=\"opening_times.sht...</div>","#quick-links-1"
