"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Liverpool Medical Centre | St J...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.94:1. Recommendation: change text colour to #fff.","error","<noscript>&lt;iframe src=\"https://www.goo...</noscript>","#top > noscript"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a class=\"mega-menu-link\" href=\"https://stjameshealthcentre.webgp.com/\" tabindex=\"0\">eConsult</a>","#mega-menu-item-608 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mega-menu-link\" href=\"https://stjameshealthcentre.webgp.com/\" tabindex=\"0\">eConsult</a>","#mega-menu-item-608 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/student-health/\" tabindex=\"0\">Student Health</a>","#mega-menu-item-379 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/student-health/\" tabindex=\"0\">Student Health</a>","#mega-menu-item-379 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/meet-the-team/\" tabindex=\"0\">Meet The Team</a>","#mega-menu-item-380 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/meet-the-team/\" tabindex=\"0\">Meet The Team</a>","#mega-menu-item-380 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/services/\" aria-haspopup=\"true\" tabindex=\"0\">Services<span class=\"mega-indic...</a>","#mega-menu-item-381 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/services/\" aria-haspopup=\"true\" tabindex=\"0\">Services<span class=\"mega-indic...</a>","#mega-menu-item-381 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/patient-participation-group/\">Patient Participation Group</a>","#mega-menu-item-387 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/patient-participation-group/\">Patient Participation Group</a>","#mega-menu-item-387 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/general-clinic/\">General Clinic</a>","#mega-menu-item-388 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/general-clinic/\">General Clinic</a>","#mega-menu-item-388 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/diabetes/\">Diabetes</a>","#mega-menu-item-391 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mega-menu-link\" href=\"http://www.stjameshealthcentre.co.uk/diabetes/\">Diabetes</a>","#mega-menu-item-391 > a"
