"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Welcome - Blackheath Medical Ce...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns=\"http://www.w3.org/1999/xhtml\"><head>\n<title>Welcome - Blackhe...</html>","html"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div id=\"sub_calculators\" class=\"menuout\"> <a href=\"cardiocalc.asp\">Heart...</div>","#sub_calculators"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"cardiocalc.asp\">Heart Risk Calculator</a>","#sub_calculators > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"edc.asp\">Pregnancy Calculator</a>","#sub_calculators > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"alcohol_audit.asp\">WHO Alcohol Questionnaire</a>","#sub_calculators > a:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div id=\"sub_links\" class=\"menuout\"> <a href=\"diabetes.asp\">Diabete...</div>","#sub_links"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"diabetes.asp\">Diabetes</a>","#sub_links > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"copd.asp\">COPD</a>","#sub_links > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"weblinks.asp\">Web links</a>","#sub_links > a:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.49:1. Recommendation: change background to #1657a9.","error","<li id=\"home\" onclick=\"go2('index.asp')\" class=\"out\" onmouseover=\"a(this.id)\" onmouseout=\"b(this.id)\">Home</li>","#home"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<li id=\"home\" onclick=\"go2('index.asp')\" class=\"out\" onmouseover=\"a(this.id)\" onmouseout=\"b(this.id)\">Home</li>","#home"
