"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Langworthy Medical Practice</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<a href=\"https://www.langworthymedicalpractice.co.uk/\">Langworthy Medical Practice</a>","html > body > div:nth-child(1) > header > div > div > p:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.langworthymedicalpractice.co.uk/\">Langworthy Medical Practice</a>","html > body > div:nth-child(1) > header > div > div > p:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.13:1. Recommendation: change text colour to #535353.","error","<p class=\"site-description\" itemprop=\"description\">Medical Doctors</p>","html > body > div:nth-child(1) > header > div > div > p:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.langworthymedicalpractice.co.uk/complaints-policy/\" itemprop=\"url\"><span itemprop=\"name\">Complaint...</a>","#menu-item-2062 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.langworthymedicalpractice.co.uk/clinics-and-services/\" itemprop=\"url\"><span itemprop=\"name\">Clinics &...</a>","#menu-item-1933 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.langworthymedicalpractice.co.uk/clinics-and-services/clinics/\" itemprop=\"url\"><span itemprop=\"name\">Our Clini...</a>","#menu-item-1934 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.langworthymedicalpractice.co.uk/clinics-and-services/travel-clinic/\" itemprop=\"url\"><span itemprop=\"name\">Travel Cl...</a>","#menu-item-1935 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.langworthymedicalpractice.co.uk/clinics-and-services/appointments-with-the-doctors/\" itemprop=\"url\"><span itemprop=\"name\">Appointme...</a>","#menu-item-1936 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.langworthymedicalpractice.co.uk/clinics-and-services/repeat-prescription-requests/\" itemprop=\"url\"><span itemprop=\"name\">Repeat Pr...</a>","#menu-item-1937 > a"
