"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Blundellsands Surgery - Home</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form role=\"search\" class=\"form-inline\" action=\"/search\" style=\"margin:auto;\" id=\"search-form\">\n        <fieldset class=\"searc...</form>","#search-form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form role=\"search\" class=\"form-inline\" action=\"/search\" style=\"margin:auto;\" id=\"search-form\">\n        <fieldset class=\"searc...</form>","#search-form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form role=\"search\" class=\"form-inline\" action=\"/search\" style=\"margin:auto;\" id=\"search-form\">\n        <fieldset class=\"searc...</form>","#search-form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form role=\"search\" class=\"form-inline\" action=\"/search\" style=\"margin:auto;\" id=\"search-form\">\n        <fieldset class=\"searc...</form>","#search-form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form role=\"search\" class=\"form-inline\" action=\"/search\" style=\"margin:auto;\" id=\"search-form\">\n        <fieldset class=\"searc...</form>","#search-form"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","warning","<span class=\"sr-only\">Search</span>","#search-form > fieldset > legend > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<span class=\"sr-only\">Search</span>","#search-form > fieldset > label > span"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input id=\"searchinput\" name=\"search\" type=\"search\" placeholder=\"I'm looking for...\" class=\"form-control input-md border-none\" required=\"\">","#searchinput"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.38:1. Recommendation: change background to #0058ad.","error","<button type=\"submit\" class=\"btn btn-nhs\" title=\"Search\">Search</button>","#search-form > fieldset > div:nth-child(4) > button"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button type=\"submit\" class=\"btn btn-nhs\" title=\"Search\">Search</button>","#search-form > fieldset > div:nth-child(4) > button"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"navbar-toggler\" type=\"button\" data-toggle=\"collapse\" data-target=\"#navbarSupportedContent\" aria-controls=\"navbarSupportedContent\" aria-expanded=\"false\" aria-label=\"Toggle navigation\">\n        <span class=\"navbar-to...</button>","html > body > div > div:nth-child(1) > div:nth-child(2) > nav > button"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"nav-link\" href=\"/\">Home <span class=\"sr-only\">(cur...</a>","#navbarSupportedContent > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"nav-link dropdown-main-link\" href=\"/about-us/\">About Us</a>","#navbarSupportedContent > ul > li:nth-child(2) > a:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<a class=\"nav-link caret-nav-link clickableDropdown dropdown-toggle rounded\" href=\"/about-us/\" id=\"navbarDropdown\" role=\"button\" data-toggle=\"dropdown\" aria-haspopup=\"true\" aria-expanded=\"false\" aria-label=\"About Us dropdown\">\n                       ...","#navbarDropdown"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"nav-link caret-nav-link clickableDropdown dropdown-toggle rounded\" href=\"/about-us/\" id=\"navbarDropdown\" role=\"button\" data-toggle=\"dropdown\" aria-haspopup=\"true\" aria-expanded=\"false\" aria-label=\"About Us dropdown\">\n                       ...","#navbarDropdown"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"dropdown-item\" href=\"/about-us/doctors/\">Doctors</a>","#navbarSupportedContent > ul > li:nth-child(2) > div > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"dropdown-item\" href=\"/about-us/nursing-team/\">Nursing Team</a>","#navbarSupportedContent > ul > li:nth-child(2) > div > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"dropdown-item\" href=\"/about-us/administration-team/\">Administration Team</a>","#navbarSupportedContent > ul > li:nth-child(2) > div > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"dropdown-item\" href=\"/about-us/qof-information/\">QoF Information</a>","#navbarSupportedContent > ul > li:nth-child(2) > div > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"nav-link dropdown-main-link\" href=\"/patient-services/\">Patient Services</a>","#navbarSupportedContent > ul > li:nth-child(3) > a:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"navbarDropdown\" found on the web page.","error","<a class=\"nav-link caret-nav-link clickableDropdown dropdown-toggle rounded\" href=\"/patient-services/\" id=\"navbarDropdown\" role=\"button\" data-toggle=\"dropdown\" aria-haspopup=\"true\" aria-expanded=\"false\" aria-label=\"Patient Services dropdown\">\n       ...","#navbarDropdown"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<a class=\"nav-link caret-nav-link clickableDropdown dropdown-toggle rounded\" href=\"/patient-services/\" id=\"navbarDropdown\" role=\"button\" data-toggle=\"dropdown\" aria-haspopup=\"true\" aria-expanded=\"false\" aria-label=\"Patient Services dropdown\">\n       ...","#navbarDropdown"
