"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Reeth Medical Centre - Home</title>","html > head > title"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder","Anchor element found with link content, but no href, ID or name attribute has been supplied.","warning","<a title=\"Expand/collapse navigation\">Expand/collapse navigation</a>","#diyfeMobileNav > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Expand/collapse navigation\">Expand/collapse navigation</a>","#diyfeMobileNav > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"277274\" href=\"http://www.reeth.org.uk/\" class=\"current level_1\"><span>Home</span></a>","#diyfeMobileNav > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"234831\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/\" class=\" level_1\"><span>Reeth Medical Centre NHS<...</a>","#diyfeMobileNav > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"344300\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/about-our-practice/\" class=\" level_2\"><span>About our practice</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"362939\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/about-our-practice/chaperones/\" class=\" level_3\"><span>Chaperones</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > div > ul > li > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"236481\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/repeat-prescriptions/\" class=\" level_2\"><span>Repeat Prescriptions</spa...</a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"344297\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/emergency-care/\" class=\" level_2\"><span>Emergency Care</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"343800\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/emergency-care/sepsis/\" class=\" level_3\"><span>Sepsis</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > div > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"347019\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/emergency-care/resuscitation/\" class=\" level_3\"><span>Resuscitation</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > div > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"344298\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/emergency-care/pre-hospital-care/\" class=\" level_3\"><span>Pre-hospital Care</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > div > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"344295\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/your-health/\" class=\" level_2\"><span>Your Health</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"352767\" href=\"http://www.reeth.org.uk/reeth-medical-centre-nhs/your-health/diabetes/\" class=\" level_3\"><span>Diabetes</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > div > ul > li:nth-child(1) > a"
