"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Donald Wilde Medical Centre – M...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"screen-reader-text skip-link\" href=\"#content\" title=\"Skip to content\">Skip to content</a>","html > body > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141","The heading structure is not logically nested. This h2 element appears to be the primary document heading, so should be an h1 element.","error","<h2 class=\"elementor-heading-title elementor-size-default\"><a href=\"https://www.donaldwild...</h2>","html > body > div:nth-child(2) > div > div > header:nth-child(1) > div > div > div:nth-child(1) > div > div > div > div > h2"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.47:1. Recommendation: change text colour to #208199.","error","<a href=\"https://www.donaldwildemedicalcentre.nhs.uk\">Donald Wilde Medical Centre</a>","html > body > div:nth-child(2) > div > div > header:nth-child(1) > div > div > div:nth-child(1) > div > div > div > div > h2 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.donaldwildemedicalcentre.nhs.uk\">Donald Wilde Medical Centre</a>","html > body > div:nth-child(2) > div > div > header:nth-child(1) > div > div > div:nth-child(1) > div > div > div > div > h2 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.donaldwildemedicalcentre.nhs.uk/clinics-and-services/\" class=\"elementor-item\">Clinics &amp; Services</a>","#menu-1-766c55ce > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.donaldwildemedicalcentre.nhs.uk/managing-your-health/\" class=\"elementor-item\">Manage Your Health</a>","#menu-1-766c55ce > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.donaldwildemedicalcentre.nhs.uk/about-us/\" class=\"elementor-item\">About Us</a>","#menu-1-766c55ce > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.donaldwildemedicalcentre.nhs.uk/contact/\" class=\"elementor-item\">Contact</a>","#menu-1-766c55ce > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.donaldwildemedicalcentre.nhs.uk\" aria-current=\"page\" class=\"elementor-item elementor-item-active\">Home</a>","#menu-1-766c55ce > li:nth-child(5) > a"
