"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Ashurst Primary Care | Lulworth...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.ashurstprimarycare.co.uk/\">\n\t\t<img src=\"/fw-content/s2010-...</a>","#masthead > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"/fw-content/s2010-images/small_stethoscope.jpg\" height=\"90\" width=\"120\" alt=\"Stethoscope\">","#masthead > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"/fw-content/s2010-images/small_stethoscope.jpg\" height=\"90\" width=\"120\" alt=\"Stethoscope\">","#masthead > a > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.ashurstprimarycare.co.uk/\">Home</a>","#menu-item-14 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.ashurstprimarycare.co.uk/practice-newsletters/\">Newsletters</a>","#menu-item-465 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.ashurstprimarycare.co.uk/accessible-information-standard/\">AIS</a>","#menu-item-17 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.ashurstprimarycare.co.uk/new-patients/\">New Patients</a>","#menu-item-125 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.ashurstprimarycare.co.uk/appointments/\">Appointments</a>","#menu-item-76 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.ashurstprimarycare.co.uk/out-of-hours/\">Out of Hours</a>","#menu-item-115 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.ashurstprimarycare.co.uk/doctors-and-staff/\">Doctors and Staff</a>","#menu-item-62 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.ashurstprimarycare.co.uk/community-clinical-staff/\">Community Clinical Staff</a>","#menu-item-80 > a"
