"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl","A title should be provided for the document, using a non-empty title element in the head section.","error","<head>\n    <meta charset=\"utf-8\">\n</head>","html > head"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div class=\"mm-navbar mm-navbar-top mm-navbar-top-1 mm-navbar-size-1 mm-hasbtns\"><a class=\"mm-prev mm-btn mm-hid...</div>","#mmenu > div:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","error","<a class=\"mm-prev mm-btn mm-hidden\"></a>","#mmenu > div:nth-child(1) > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mm-prev mm-btn mm-hidden\"></a>","#mmenu > div:nth-child(1) > a:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder","Anchor element found with link content, but no href, ID or name attribute has been supplied.","warning","<a class=\"mm-title\">Home menu</a>","#mmenu > div:nth-child(1) > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mm-title\">Home menu</a>","#mmenu > div:nth-child(1) > a:nth-child(2)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a class=\"mm-close mm-btn\" href=\"#main-wrapper\"></a>","#mmenu > div:nth-child(1) > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mm-close mm-btn\" href=\"#main-wrapper\"></a>","#mmenu > div:nth-child(1) > a:nth-child(3)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"#mm-0\" class=\"mm-subblocker\"></a>","#mm-0 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#mm-0\" class=\"mm-subblocker\"></a>","#mm-0 > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder","Anchor element found with link content, but no href, ID or name attribute has been supplied.","warning","<a class=\"mm-title\">Home menu</a>","#mm-0 > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mm-title\">Home menu</a>","#mm-0 > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"index.php\">Home</a>","#mm-0 > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a class=\"mm-next mm-fullsubopen\" href=\"#mm-1\" data-target=\"#mm-1\"></a>","#mm-0 > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"mm-next mm-fullsubopen\" href=\"#mm-1\" data-target=\"#mm-1\"></a>","#mm-0 > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a class=\"mm-next mm-fullsubopen\" href=\"#mm-2\" data-target=\"#mm-2\"></a>","#mm-0 > ul > li:nth-child(3) > a"
