"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Helmsley Surgery – An apple a d...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #000709.","error","<p>An apple a day keeps the Doctor...</p>","html > body > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(1) > div > div > p"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #000709.","error","<p><strong>Tel:</strong>&nbsp;0143...</p>","html > body > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(2) > div > div > p"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #000709.","error","<strong>Tel:</strong>","html > body > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(2) > div > div > p > strong:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.28:1. Recommendation: change text colour to #000709.","error","<strong>Fax:</strong>","html > body > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(2) > div > div > p > strong:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"header__logo\" href=\"https://www.helmsleymedicalcentre.co.uk/\">\n\t\t\t\t\t\t\t\t\t\t\t<img src=\"https://w...</a>","html > body > div:nth-child(1) > header > div > div > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"https://www.helmsleymedicalcentre.co.uk/wp-content/uploads/2018/12/Logo.png\" alt=\"Helmsley Surgery\" srcset=\"https://www.helmsleymedicalcentre.co.uk/wp-content/uploads/2018/12/Logo.png\" class=\"img-fluid\" width=\"242\" height=\"61\">","html > body > div:nth-child(1) > header > div > div > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.helmsleymedicalcentre.co.uk/wp-content/uploads/2018/12/Logo.png\" alt=\"Helmsley Surgery\" srcset=\"https://www.helmsleymedicalcentre.co.uk/wp-content/uploads/2018/12/Logo.png\" class=\"img-fluid\" width=\"242\" height=\"61\">","html > body > div:nth-child(1) > header > div > div > a > img"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"btn  btn-primary  header__navbar-toggler  hidden-lg-up  js-sticky-mobile-option\" type=\"button\" data-toggle=\"collapse\" data-target=\"#medicpress-main-navigation\"><i class=\"fa  fa-bars  hamburge...</button>","html > body > div:nth-child(1) > header > div > div > button"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.27:1. Recommendation: change text colour to #006176.","error","<a href=\"https://www.helmsleymedicalcentre.co.uk/\">Home</a>","#menu-item-2834 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/\">Home</a>","#menu-item-2834 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/our-doctors/\">Our Staff</a>","#menu-item-2835 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/practice-survey-reporting/\">Practice Survey</a>","#menu-item-3608 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/services/\">Services</a>","#menu-item-2836 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/prescriptions/\">Prescriptions</a>","#menu-item-3102 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/pharmacies/\">Pharmacies</a>","#menu-item-3619 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/tests-and-results/\">Tests And Results</a>","#menu-item-3142 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/tests-and-results/#xray\">X-Ray</a>","#menu-item-3591 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/helmsley/tests-and-results/#Bloodtest\">Blood Test</a>","#menu-item-3205 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/do-it-online/\">Online Services</a>","#menu-item-3620 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/appointments/been-off-work/\">Sickness Certificates</a>","#menu-item-3621 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/childhood-vaccination-planner/\">Childhood Vaccinations</a>","#menu-item-3622 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/helmsley/services/#travel\">Travel Vaccinations</a>","#menu-item-3623 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/helmsley/services/#sex\">Sexual Health</a>","#menu-item-3624 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/appointments/\">Appointments</a>","#menu-item-2838 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/patients/\">Patients</a>","#menu-item-2837 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/patient-participation-group/\">Patient Participation Group</a>","#menu-item-3610 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/your-healthcare-data/\">Your Healthcare Data</a>","#menu-item-3614 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/health-a-z/\">Health AZ: Conditions and Treat...</a>","#menu-item-2912 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.helmsleymedicalcentre.co.uk/pregnancy-care-planner/\">Pregnancy Information</a>","#menu-item-3615 > a"
