"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Welcome to the Practice - Zetla...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://www.zetlandmedicalpractice.co.uk/wp-content/themes/zetland/img/zetland-banner-logo.gif\" alt=\"Zetland Medical Practice\" class=\"pull-left\">","#header > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://www.zetlandmedicalpractice.co.uk/wp-content/themes/zetland/img/zetland-banner-logo.gif\" alt=\"Zetland Medical Practice\" class=\"pull-left\">","#header > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://www.zetlandmedicalpractice.co.uk/wp-content/themes/zetland/img/zetland-banner-middle.jpg\" alt=\"Zetland Medical Practice\" class=\"pull-left\">","#header > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://www.zetlandmedicalpractice.co.uk/wp-content/themes/zetland/img/zetland-banner-middle.jpg\" alt=\"Zetland Medical Practice\" class=\"pull-left\">","#header > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://www.zetlandmedicalpractice.co.uk/wp-content/themes/zetland/img/zetland-banner-contact.gif\" alt=\"Zetland Medical Practice\" class=\"pull-left\">","#header > img:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://www.zetlandmedicalpractice.co.uk/wp-content/themes/zetland/img/zetland-banner-contact.gif\" alt=\"Zetland Medical Practice\" class=\"pull-left\">","#header > img:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.05:1. Recommendation: change text colour to #355c7b.","error","<a href=\"http://www.zetlandmedicalpractice.co.uk/\" aria-current=\"page\">Home</a>","#menu-item-10 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.zetlandmedicalpractice.co.uk/\" aria-current=\"page\">Home</a>","#menu-item-10 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.05:1. Recommendation: change text colour to #355c7b.","error","<a href=\"http://www.zetlandmedicalpractice.co.uk/meet-the-team/\">Meet the Team</a>","#menu-item-25 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.zetlandmedicalpractice.co.uk/meet-the-team/\">Meet the Team</a>","#menu-item-25 > a"
