"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Welcome to Colliery Court Medic...</title>","html > head > title:nth-child(2)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyWithName","Anchor element found with a name attribute but without a href or link text. Consider moving the name attribute to become an ID of a parent or nearby element.","warning","<a name=\"TOP\"></a>","#header > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a name=\"TOP\"></a>","#header > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/\" title=\"Colliery Court Medical Group\" rel=\"home\">Colliery Court Medical Group</a>","#site-title > span > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img width=\"940\" height=\"198\" src=\"http://collierycourt.gp.necsu.info/wp-content/uploads/sites/89/2011/02/20161031_124141-940x198.jpg\" class=\"attachment-post-thumbnail size-post-thumbnail wp-post-image\" alt=\"\">","#branding > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img width=\"940\" height=\"198\" src=\"http://collierycourt.gp.necsu.info/wp-content/uploads/sites/89/2011/02/20161031_124141-940x198.jpg\" class=\"attachment-post-thumbnail size-post-thumbnail wp-post-image\" alt=\"\">","#branding > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#content\" title=\"Skip to content\">Skip to content</a>","#access > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.97:1. Recommendation: change background to #005b9f.","error","<a href=\"http://collierycourt.nhs.uk/\">Home</a>","#access > div:nth-child(2) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/\">Home</a>","#access > div:nth-child(2) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.97:1. Recommendation: change background to #005b9f.","error","<a href=\"http://collierycourt.nhs.uk/appointments/\">Appointments</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/\">Appointments</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/book-online/\">Book online</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/appointment-types/\">Appointment types</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/appointment-types/routine-appointments/\">Routine Appointments</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/appointment-types/urgent-same-day-appointments/\">Urgent Same Day Appointments</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/appointment-types/late-night-appointments/\">Late Night Appointments</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/appointment-types/telephone-appointments/\">Telephone Appointments</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/appointment-types/contraception-and-sexual-health/\">Contraception and Sexual Health</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/appointment-types/nurse-appointments/\">Nurse Appointments</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(6) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://collierycourt.nhs.uk/appointments/appointment-types/home-visits/\">Home Visits</a>","#access > div:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(2) > ul > li:nth-child(7) > a"
