"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Worthing Medical Group – Puttin...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<header class=\"artx-header\" style=\"background-position: 50% 0%;\">\n<div class=\"header-logo\"><a hr...</header>","#artx-main > div > header"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"http://worthingmedicalgroup.co.uk\"></a>","#artx-main > div > header > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://worthingmedicalgroup.co.uk\"></a>","#artx-main > div > header > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.1","Img element with empty alt text must have absent or empty title attribute.","error","<img src=\"http://worthingmedicalgroup.co.uk/wp-content/plugins/masterslider/public/assets/css/blank.gif\" alt=\"\" title=\"GP consultation\" style=\"visibility: hidden;\">","#MS5d292beea9bc7 > div > div > div > div > div:nth-child(1) > div:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://worthingmedicalgroup.co.uk/wp-content/plugins/masterslider/public/assets/css/blank.gif\" alt=\"\" title=\"GP consultation\" style=\"visibility: hidden;\">","#MS5d292beea9bc7 > div > div > div > div > div:nth-child(1) > div:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.1","Img element with empty alt text must have absent or empty title attribute.","error","<img src=\"http://worthingmedicalgroup.co.uk/wp-content/uploads/2018/05/About-the-Practice.jpg\" alt=\"\" title=\"Mother And Baby Meeting With Female Doctor In Office\" style=\"visibility: hidden;\">","#MS5d292beea9bc7 > div > div > div > div > div:nth-child(2) > div:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://worthingmedicalgroup.co.uk/wp-content/uploads/2018/05/About-the-Practice.jpg\" alt=\"\" title=\"Mother And Baby Meeting With Female Doctor In Office\" style=\"visibility: hidden;\">","#MS5d292beea9bc7 > div > div > div > div > div:nth-child(2) > div:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.1","Img element with empty alt text must have absent or empty title attribute.","error","<img src=\"http://worthingmedicalgroup.co.uk/wp-content/plugins/masterslider/public/assets/css/blank.gif\" alt=\"\" title=\"Doctor ascultating patient\" style=\"visibility: hidden;\">","#MS5d292beea9bc7 > div > div > div > div > div:nth-child(3) > div:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://worthingmedicalgroup.co.uk/wp-content/plugins/masterslider/public/assets/css/blank.gif\" alt=\"\" title=\"Doctor ascultating patient\" style=\"visibility: hidden;\">","#MS5d292beea9bc7 > div > div > div > div > div:nth-child(3) > div:nth-child(2) > img"
