code,number
WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs,18218
WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90,4298
WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder,5252
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48,21844
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48.2,1662
WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3,104671
WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68,6787
WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2,15476
WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour,16645
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42,39169
WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour,86232
WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Abs,2736
WCAG2AAA.Principle3.Guideline3_2.3_2_2.H32.2,3304
WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage,153348
WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver,1786
WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut,1780
WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Select.Value,1631
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H85.2,1991
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID",1879
WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage,8246
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.U,176
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr,2444
WCAG2AAA.Principle2.Guideline2_1.2_1_2.F10,35
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font,1944
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B,921
WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Empty,437
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H71.SameName,106
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H44.NonExistentFragment,200
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H39.3.NoCaption,472
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Center,26
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48.1,66
WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68.HiddenAttr,1
WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyWithName,220
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H63.2,31
WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoHref,142
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.I,113
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Small,60
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H73.3.NoSummary,9
WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown,275
WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp,257
WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseMove,215
WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.DblClick,2
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H44.NotFormControl,11
WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Big,14
